Date,Description,Original Description,Category,Amount,Status
2026-06-29,"IBI*SavageXFenty                 062926","IBI*SavageXFenty                 062926",Category Pending,-10.90,Pending
2026-06-29,"COX COMM PHX     PURCHASE   ***********1EvC","COX COMM PHX     PURCHASE   ***********1EvC",Category Pending,-179.95,Pending
2026-06-29,"AMAZON.COM*XE2ZZ81T3             062826","AMAZON.COM*XE2ZZ81T3             062826",Category Pending,-19.65,Pending
2026-06-29,"AMAZON.COM*BD8JH2LS3             062826","AMAZON.COM*BD8JH2LS3             062826",Category Pending,-39.05,Pending
2026-06-26,"CELLULAR SALES AZ-ST             062626","CELLULAR SALES AZ-ST             062626",Category Pending,-69.72,Pending
2026-06-26,"Aidvantage","ADVS ED SERV WEB STUDNTLOAN ***********A0O1",Student Loan,-952.54,Posted
2026-06-26,"Stash","STASH CAPITAL (S ACH        ***********2080",Investments,-100.00,Posted
2026-06-26,"Blue Sky Pest Co","Blue Sky Pest Co WWP*Blue S ***********2420",Uncategorized,-45.00,Posted
2026-06-26,"PayPal","PAYPAL           PURCHASE   ***********1518",Uncategorized,-34.99,Posted
2026-06-26,"PayPal","PAYPAL           PURCHASE   *********** 5DD",Uncategorized,-11.61,Posted
2026-06-26,"Instacart via Instacart","IC* COSTCO BY INSTACAR   INSTACART.COMCA",Shopping,-175.73,Posted
2026-06-26,"Eos Ray and Cooper","8185 EOS RAY AND COOPER  CHANDLER     AZ",Entertainment,-3.81,Posted
2026-06-26,"Apple","APPLE COM                CUPERTINO    CA",Electronics & Software,-3.18,Posted
2026-06-25,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-107.52,Posted
2026-06-25,"Quick Clean Car Wash","QUICK CLEAN CAR WASH     CHANDLER     AZ",Service & Parts,-34.00,Posted
2026-06-25,"Returned Deposit Item","RETURNED DEPOSIT ITEM",Banking Fee,-63.07,Posted
2026-06-24,"Amazon Store Card","AMZ_STORECRD_PMT PAYMENT    ***********6199",Credit Card Payment,-243.00,Posted
2026-06-24,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-107.80,Posted
2026-06-24,"Hulu","Hulu                     SANTA MONICA CA",Television,-20.47,Posted
2026-06-24,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.97,Posted
2026-06-23,"Stash Cash Tal","Stash Cash Mngt  Stash      ***********8TAL",Investments,-30.00,Posted
2026-06-23,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-12.75,Posted
